Category,Question,correct answer,answer2,answer3,answer4
General,What is the capital of France?,Paris,London,Jonas,Bejing
General,How many time zone are in Russia?,11,23,7,3
General,What is the capital of Denmark?,Copenhagen,Hank,Paris,Washington DC
General,How many time zones are there in France?,12,34,5,2
General,What is the national currency of Denmark?,Krone,Spaghetti-O,Euro,USD
General,Which country surrounds Vatican City?,Italy,Russia,USA,Barbados
General,Which of the following is not a real country?,Hong Kong,Vatican City,France,Ukraine
General,Which country is the largest in terms of population?,India,China,Russia,Vietnam
General,Who was the president of the USA in 1946,Harry Truman,Andrew Jackson,Joe Biden,Franklin Roosevelt
General,What is the capital of Spain?,Madrid,Barcelona,Seville,Lisbon
General,What is the currency of Japan?,Yen,Dollar,Euro,Won
General,What continent is Brazil located in?,South America,Europe,Asia,North America
General,How many continents are there?,7,5,6,8
General,Which planet is closest to the sun?,Mercury,Earth,Mars,Venus
General,Which element has the chemical symbol O?,Oxygen,Gold,Iron,Hydrogen
General,Which animal is known as the King of the Jungle?,Lion,Tiger,Elephant,Leopard
General,What is the largest ocean on Earth?,Pacific,Atlantic,Indian,Arctic
General,Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Michelangelo,Van Gogh
General,Which country is famous for the pyramids?,Egypt,Mexico,India,Greece
General,What is the tallest mountain in the world?,Mount Everest,K2,Mount Kilimanjaro,Denali
General,What gas do plants absorb from the atmosphere?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen
General,What is the smallest planet in our solar system?,Mercury,Earth,Mars,Venus
General,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi
General,Which language has the most native speakers?,Mandarin English,Spanish,Hindi,Arabic
General,Who wrote "Romeo and Juliet"?,William Shakespeare,Charles Dickens,Mark Twain,Jane Austen
General,Which country is home to the kangaroo?,Australia,India,South Africa,New Zealand
General,Which part of the plant conducts photosynthesis?,Leaf,Root,Stem,Flower
General,Who was the first man on the moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,John Glenn
General,What is the chemical symbol for water?,H2O,O2,CO2,NaCl
General,What is the main ingredient in guacamole?,Avocado,Tomato,Potato,Cucumber
General,Which planet is known as the Red Planet?,Mars,Jupiter,Saturn,Neptune
General,What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal
General,Which country invented pizza?,Italy,Germany,USA,Mexico
General,What is the national language of Brazil?,Portuguese,Spanish,French,Brazilian
General,How many legs does a spider have?,8,6,10,12
General,What is the largest mammal in the world?,Blue whale,Elephant,Giraffe,Hippopotamus
General,What is the currency of the United Kingdom?,Pound,Euro,Dollar,Franc
General,Which country gifted the Statue of Liberty to the USA?,France,UK,Germany,Spain
General,What is the boiling point of water in Celsius?,100,90,80,120
General,What organ pumps blood through the body?,Heart,Liver,Brain,Lung
General,What is the capital of Italy?,Rome,Milan,Naples,Florence
General,What is the name of the galaxy we live in?,Milky Way,Andromeda,Orion,Nebula
General,What do bees produce?,Honey,Milk,Wax,Oil
General,Which color is made by mixing red and blue?,Purple,Green,Orange,Brown
General,What is the capital of Germany?,Berlin,Frankfurt,Munich,Zurich
General,How many bones are in the adult human body?,206,201,300,178
General,What is the freezing point of water in Celsius?,0,10,32,-5
General,Which instrument has keys, pedals, and strings?,Piano,Guitar,Drum,Flute
General,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth
General,Who wrote "The Lord of the Flies"?,William Golding,William Shakespeare,Michael Crichton,Elvis Presley
Baby,What color is the sky?,blue,red,beige,purple
Baby,What does a pacifier do?,You can suck on it,It makes you sleepy,It gives you $200,it transforms you into a donkey
Baby,What color is grass?,Green,Red,Blue,Orange
Baby,What color is snow?,White,Blue,Green,Grey
Baby,How old is a two year old baby?,Two years,4 months,12 months,3 years and 7 months
Baby,How many bones does a baby have?,~300,~200,~100,0 they are squishy like an octopus
Baby,What's the name of the purple teletubby?,Tinky Winky,Po,Laa-Laa,Dipsy
Baby,What color is a blobfish?,Pink,Orange,Green,Blue
Baby,Which of the following is not a diaper brand?,Snarpies,Pampers,Huggies,CHUX
Baby,Which of the following is not safe for consumption?,Rocks,Milk,baby food,pasta
